Levy,Manufacturer,Model,Prod. year,Leather interior,Engine volume,Mileage,Cylinders,Doors,Color,Airbags,Wheel__Right-hand drive,Drive wheels_4x4,Drive wheels_Front,Drive wheels_Rear,Gear_box_type_Automatic,Gear_box_type_Manual,Gear_box_type_Tiptronic,Gear_box_type_Variator,fuel_type__CNG,fuel_type__Diesel,fuel_type__Hybrid,fuel_type__Hydrogen,fuel_type__LPG,fuel_type__Petrol,fuel_type__Plug-in Hybrid,category__Coupe,category__Goods wagon,category__Hatchback,category__Jeep,category__Limousine,category__Microbus,category__Minivan,category__Pickup,category__Sedan,category__Universal
880,SSANGYONG,Actyon,2018,1,1.6,45494,4.0,2,White,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1363,LEXUS,GX 460,2012,1,4.6,150909,8.0,2,Black,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
640,VOLKSWAGEN,CC,2013,1,2.0,134400,4.0,2,White,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,BMW,X5,2009,0,3.0,41000,6.0,2,Carnelian red,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
494,NISSAN,March,2015,1,1.2,149734,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
915,BMW,X5,2014,1,3.0,110715,6.0,2,White,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,VOLKSWAGEN,Touran,2004,0,2.0,176000,4.0,2,Black,12,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
915,AUDI,A7,2014,1,3.0,191373,6.0,2,Grey,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
777,HYUNDAI,H1,2014,1,2.5,196654,4.0,2,White,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
836,HYUNDAI,Tucson,2010,1,2.0,167512,4.0,2,Grey,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,TOYOTA,Prius,2014,0,1.8,123000,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,FORD,Transit,1996,0,2.5,335000,4.0,1,White,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1053,BMW,X5,2014,1,3.5,158000,6.0,2,White,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,MERCEDES-BENZ,Vito,2003,0,2.2,395000,4.0,2,White,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,DODGE,Caliber journey,2010,0,2.4,83000,4.0,2,Black,8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,OPEL,Vectra,1994,0,2.0,2697,4.0,2,Green,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
639,HYUNDAI,Sonata,2014,1,2.0,389854,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1437,OPEL,Astra,2004,0,1.7,1800000,4.0,2,Silver,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1018,MERCEDES-BENZ,E 350,2011,1,3.0,273186,6.0,2,White,12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FORD,Transit 100LD,1998,0,2.5,250000,4.0,2,White,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,NISSAN,Juke Juke,2012,1,1.6,55395,4.0,2,Black,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
777,FORD,Fusion,2014,0,2.5,130000,4.0,2,White,10,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
583,HYUNDAI,Elantra,2011,1,1.6,140000,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,CHEVROLET,Spark,2013,1,1.2,93000,4.0,2,Silver,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
503,HONDA,Civic,2012,1,1.5,272189,4.0,2,Silver,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
980,NISSAN,Sentra,2018,1,1.8,67272,4.0,2,Silver,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
843,TOYOTA,Prius,2008,0,1.5,184000,4.0,2,White,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,OPEL,Astra,1998,0,1.6,11111,4.0,2,White,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
891,KIA,Sportage,2016,1,2.0,53000,4.0,2,Silver,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
911,HYUNDAI,Santa FE,2010,1,2.2,149046,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
900,HONDA,Cr-v,2015,1,2.4,80288,4.0,2,Brown,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,SUBARU,XV HYBRID,2013,1,2.0,63200,4.0,2,White,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
530,NISSAN,Juke,2013,1,1.6,129128,4.0,2,White,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1363,LEXUS,GX 460,2012,1,4.6,189704,8.0,2,Grey,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
585,HYUNDAI,Elantra,2013,0,1.8,50545,4.0,2,Grey,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
746,TOYOTA,Prius,2009,1,1.5,142426,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
810,TOYOTA,Corolla S,2016,1,1.8,39728,4.0,2,Black,8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
640,SSANGYONG,Korando,2013,1,2.0,93338,4.0,2,White,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1018,BMW,X5,2011,1,3.0,170043,6.0,2,Grey,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,MERCEDES-BENZ,250,2012,1,1.8,74000,6.0,2,Black,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
394,TOYOTA,Camry,2014,1,2.5,115312,4.0,2,Grey,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
585,LEXUS,CT 200h,2013,1,1.8,129000,4.0,2,White,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1053,MERCEDES-BENZ,E 350,2014,1,3.5,219030,6.0,2,Black,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1325,MAZDA,CX-9,2019,1,2.5,14186,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
749,HYUNDAI,Sonata,2014,1,2.4,166008,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
531,FORD,Fusion,2012,0,1.6,82000,4.0,2,White,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,MERCEDES-BENZ,Vito,2012,0,2.2,130000,4.0,2,White,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
642,CHEVROLET,Malibu,2012,1,2.0,60080,4.0,2,Black,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
583,HYUNDAI,Elantra,2011,1,1.6,127983,4.0,2,Grey,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
528,NISSAN,Versa,2014,1,1.6,91000,4.0,2,Sky blue,8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
878,FORD,Transit Connect,2009,0,1.8,20462,4.0,2,White,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1624,MERCEDES-BENZ,E 350,2009,1,3.5,266061,6.0,2,Black,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,MITSUBISHI,Pajero,1997,0,3.5,368000,6.0,2,Green,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
761,TOYOTA,Prius,2010,0,1.8,196121,4.0,2,White,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
831,HYUNDAI,Sonata,2011,1,2.4,233938,4.0,2,Black,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,OPEL,Astra,1999,0,1.6,227000,4.0,2,Black,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,CHEVROLET,Volt,2011,1,1.4,217600,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,CHEVROLET,Volt,2011,1,1.4,248000,4.0,2,Grey,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1083,DODGE,Avenger,2013,1,3.6,204934,6.0,2,Grey,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,MERCEDES-BENZ,ML 350,2012,1,3.0,131000,6.0,2,Grey,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
891,HYUNDAI,Sonata,2016,1,2.0,100702,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
789,CHEVROLET,Cruze,2009,1,1.6,53434,4.0,2,Black,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
642,VOLKSWAGEN,Jetta,2012,1,2.0,141438,4.0,2,Black,12,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
707,HYUNDAI,Tucson,2011,1,2.0,67630,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
530,NISSAN,Juke,2013,1,1.6,153888,4.0,2,White,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1055,NISSAN,Altima,2013,1,3.5,130877,6.0,2,White,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
781,TOYOTA,Camry,2012,0,2.5,156800,4.0,2,Green,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
779,TOYOTA,RAV 4,2013,0,2.5,176000,4.0,2,Silver,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
474,CHEVROLET,Cruze,2013,1,1.4,170451,4.0,2,Brown,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,OPEL,Astra,1998,1,1.6,175000,4.0,2,Blue,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1325,VOLKSWAGEN,Sharan,2011,0,1.4,126000,4.0,2,Silver,6,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
353,TOYOTA,Prius,2015,0,1.8,159000,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1399,ACURA,TL,2010,1,3.5,162453,6.0,2,Silver,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1307,CHEVROLET,Camaro,2015,0,3.6,93081,2.0,1,Black,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
584,HYUNDAI,Elantra,2014,0,1.8,133502,4.0,2,Blue,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,HYUNDAI,Tucson,2010,1,2.4,180000,4.0,2,White,10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
915,AUDI,A7,2014,1,3.0,140507,6.0,2,Silver,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1172,MERCEDES-BENZ,E 350,2011,1,3.5,226251,6.0,1,Black,12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
880,SSANGYONG,Actyon,2018,1,1.6,38972,4.0,2,Black,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
691,HONDA,FIT,2017,1,1.3,49000,4.0,2,Black,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1399,LEXUS,RX 450,2010,1,3.5,382746,6.0,2,Silver,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862,NISSAN,Altima,2011,1,2.5,266819,4.0,2,Black,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1277,KIA,Sorento,2018,1,2.4,57618,4.0,2,Purple,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
862,FORD,Fusion,2011,1,2.5,49669,4.0,2,Silver,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
584,CHEVROLET,Cruze,2014,0,1.8,68000,4.0,2,Black,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
289,FORD,Escape,2008,1,0.4,209843,4.0,2,Grey,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
765,HYUNDAI,Santa FE,2015,1,2.0,115459,4.0,2,Blue,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,TOYOTA,Camry Hybrid,2012,1,2.5,155000,4.0,2,Black,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2410,CHEVROLET,Camaro,2010,1,6.2,217786,8.0,1,Blue,12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
707,HYUNDAI,Sonata,2011,1,2.0,457978,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1053,MERCEDES-BENZ,E 350,2014,1,3.5,149486,6.0,2,Silver,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
781,TOYOTA,Camry,2012,0,2.5,125678,4.0,2,White,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
831,HYUNDAI,Elantra,2017,1,1.6,56378,4.0,2,Silver,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
441,KIA,Optima,2015,1,2.4,87890,4.0,2,Black,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
777,TOYOTA,RAV 4,2014,1,2.5,168661,4.0,2,White,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,MERCEDES-BENZ,A 190,2001,1,1.9,200000,4.0,2,Black,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1249,HYUNDAI,H1,2017,1,2.5,105743,4.0,2,White,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
